94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050507055514605/07/05 05:55:31  5-MIN KDBQ 071155Z 04004KT 5SM BR BKN055 BKN070 12/11  A3002 990 89 900 040/04 RMK AO2 SLP167 70018 T01220106 10139 20111 53005
94908KDBQ DBQ20050507060010505/07/05 06:00:31  5-MIN KDBQ 071200Z 03004KT 5SM BR BKN060 BKN080 12/11  A3002 980 89 900 030/04 RMK AO2
94908KDBQ DBQ20050507060509705/07/05 06:05:31  5-MIN KDBQ 071205Z 03006KT 5SM BR SCT055 12/11 A3002 980 89 900 030/06 RMK AO2
94908KDBQ DBQ20050507061009705/07/05 06:10:31  5-MIN KDBQ 071210Z 03005KT 5SM BR SCT055 12/11 A3003 980 89 900 030/05 RMK AO2
94908KDBQ DBQ20050507061509705/07/05 06:15:31  5-MIN KDBQ 071215Z 03005KT 5SM BR SCT055 12/11 A3003 980 89 900 030/05 RMK AO2
94908KDBQ DBQ20050507062009705/07/05 06:20:31  5-MIN KDBQ 071220Z 00000KT 5SM BR FEW055 12/11 A3003 980 89 900 000/00 RMK AO2
94908KDBQ DBQ20050507062509705/07/05 06:25:31  5-MIN KDBQ 071225Z 04003KT 5SM BR FEW050 12/11 A3003 970 93 900 030/03 RMK AO2
94908KDBQ DBQ20050507063009705/07/05 06:30:31  5-MIN KDBQ 071230Z 04003KT 5SM BR FEW050 12/11 A3003 970 93 900 040/03 RMK AO2
94908KDBQ DBQ20050507063509805/07/05 06:35:31  5-MIN KDBQ 071235Z 00000KT 5SM BR FEW050 13/11 A3003 970 89 1000 000/00 RMK AO2
94908KDBQ DBQ20050507064010605/07/05 06:40:31  5-MIN KDBQ 071240Z 00000KT 5SM BR FEW050 SCT070 13/11  A3004 970 89 1000 000/00 RMK AO2
94908KDBQ DBQ20050507064511305/07/05 06:45:31  5-MIN KDBQ 071245Z 00000KT 5SM BR FEW050 SCT070 SCT090  13/11 A3004 970 89 1000 000/00 RMK AO2
94908KDBQ DBQ20050507065012305/07/05 06:50:31  5-MIN KDBQ 071250Z 00000KT 5SM BR FEW050 SCT090 13/11  A3004 970 89 1000 000/00 RMK AO2 SLP174 T01280111
94908KDBQ DBQ20050507065512305/07/05 06:55:31  5-MIN KDBQ 071255Z 00000KT 5SM BR FEW055 SCT090 13/11  A3004 970 89 1000 000/00 RMK AO2 SLP175 T01280111
94908KDBQ DBQ20050507070011305/07/05 07:00:31  5-MIN KDBQ 071300Z 00000KT 5SM BR FEW055 SCT070 BKN090  13/11 A3004 970 89 1000 000/00 RMK AO2
94908KDBQ DBQ20050507070511305/07/05 07:05:31  5-MIN KDBQ 071305Z 05005KT 5SM BR SCT055 BKN070 BKN090  13/11 A3004 970 89 1000 040/05 RMK AO2
94908KDBQ DBQ20050507071011305/07/05 07:10:31  5-MIN KDBQ 071310Z 05005KT 5SM BR FEW048 SCT060 BKN090  13/11 A3004 970 89 1000 050/05 RMK AO2
94908KDBQ DBQ20050507071510605/07/05 07:15:31  5-MIN KDBQ 071315Z 03006KT 5SM BR FEW048 SCT060 13/11  A3004 970 89 1000 030/06 RMK AO2
94908KDBQ DBQ20050507072010605/07/05 07:20:31  5-MIN KDBQ 071320Z 02004KT 5SM BR SCT047 BKN060 13/11  A3005 960 89 1000 020/04 RMK AO2
94908KDBQ DBQ20050507072511305/07/05 07:25:31  5-MIN KDBQ 071325Z 01003KT 5SM BR BKN049 BKN060 BKN090  13/11 A3005 960 89 1000 010/03 RMK AO2
94908KDBQ DBQ20050507073011305/07/05 07:30:31  5-MIN KDBQ 071330Z 00000KT 4SM BR BKN049 BKN065 BKN085  13/11 A3005 960 89 1000 000/00 RMK AO2
94908KDBQ DBQ20050507073512905/07/05 07:35:31  5-MIN KDBQ 071335Z 00000KT 3SM -RA BR FEW029 BKN049  BKN075 13/11 A3005 960 89 1000 000/00 RMK AO2 RAB35 P0000
94908KDBQ DBQ20050507074013205/07/05 07:40:31  5-MIN KDBQ 071340Z 00000KT 1 1/2SM +RA BR SCT024 SCT036 BKN049 13/11 A3005 960 89 1000 000/00 RMK AO2 RAB35 P0002
94908KDBQ DBQ20050507074513205/07/05 07:45:31  5-MIN KDBQ 071345Z 07003KT 1 1/4SM RA BR SCT024 BKN036  OVC048 13/11 A3005 960 89 1000 070/03 RMK AO2 RAB35 P0005
94908KDBQ DBQ20050507075014905/07/05 07:50:31  5-MIN KDBQ 071350Z 00000KT 2 1/2SM RA BR BKN024 BKN036  OVC048 13/12 A3005 960 93 1000 000/00 RMK AO2 RAB35 SLP176 P0006 T01280117
94908KDBQ DBQ20050507075514605/07/05 07:55:31  5-MIN KDBQ 071355Z 00000KT 3SM -RA BR BKN024 BKN036  OVC048 13/12 A3005 960 93 1000 000/00 RMK AO2 RAB35 SLP175 P0007 T01280117
94908KDBQ DBQ20050507080010805/07/05 08:00:31  5-MIN KDBQ 071400Z 00000KT 3SM -RA BR OVC024 13/12 A3004 960 93 1000 000/00 RMK AO2 P0000
94908KDBQ DBQ20050507080510805/07/05 08:05:31  5-MIN KDBQ 071405Z 00000KT 3SM -RA BR OVC022 13/12 A3005 960 93 1000 000/00 RMK AO2 P0000
94908KDBQ DBQ20050507081011605/07/05 08:10:31  5-MIN KDBQ 071410Z 04003KT 3SM -RA BR BKN022 BKN095  13/12 A3005 960 93 1000 040/03 RMK AO2 P0001
94908KDBQ DBQ20050507081511505/07/05 08:15:31  5-MIN KDBQ 071415Z 04003KT 3SM -RA BR BKN022 BKN095  12/11 A3005 960 93 900 040/03 RMK AO2 P0001
94908KDBQ DBQ20050507082011505/07/05 08:20:31  5-MIN KDBQ 071420Z 00000KT 3SM -RA BR SCT024 BKN095  12/11 A3005 960 93 900 000/00 RMK AO2 P0001
94908KDBQ DBQ20050507082511505/07/05 08:25:31  5-MIN KDBQ 071425Z 05003KT 3SM -RA BR BKN024 BKN095  12/11 A3005 960 93 900 050/03 RMK AO2 P0001
94908KDBQ DBQ20050507083011805/07/05 08:30:31  5-MIN KDBQ 071430Z 04005KT 2 1/2SM -RA BR BKN024 BKN095 12/11 A3005 960 93 900 040/05 RMK AO2 P0002
94908KDBQ DBQ20050507083511805/07/05 08:35:31  5-MIN KDBQ 071435Z 02007KT 2 1/2SM -RA BR BKN024 BKN095 12/11 A3005 960 93 900 020/07 RMK AO2 P0002
94908KDBQ DBQ20050507084011805/07/05 08:40:31  5-MIN KDBQ 071440Z 04005KT 2 1/2SM -RA BR BKN024 OVC095 12/11 A3005 960 93 900 030/05 RMK AO2 P0002
94908KDBQ DBQ20050507084511205/07/05 08:45:31  5-MIN KDBQ 071445Z 05004KT 2 1/2SM -RA BR OVC024 12/12  A3005 960 96 900 050/04 RMK AO2 P0003
94908KDBQ DBQ20050507085013505/07/05 08:50:31  5-MIN KDBQ 071450Z 04005KT 2SM RA BR OVC026 12/12 A3005 960 96 900 040/05 RMK AO2 SLP178 P0004 60011 T01220117 53005
94908KDBQ DBQ20050507085513605/07/05 08:55:31  5-MIN KDBQ 071455Z 04007KT 2SM -RA BR OVC026 12/12 A3005 960 96 900 040/07 RMK AO2 SLP178 P0005 60012 T01220117 51011
94908KDBQ DBQ20050507090011105/07/05 09:00:31  5-MIN KDBQ 071500Z 03006KT 1 3/4SM RA BR OVC024 12/12  A3005 950 96 900 030/06 RMK AO2 P0001
94908KDBQ DBQ20050507090511105/07/05 09:05:31  5-MIN KDBQ 071505Z 05010KT 1 3/4SM RA BR OVC024 12/12  A3005 960 96 900 040/10 RMK AO2 P0002
94908KDBQ DBQ20050507091011505/07/05 09:10:31  5-MIN KDBQ 071510Z 05011KT 2SM -RA BR BKN024 OVC055  12/12 A3004 970 96 900 050/11 RMK AO2 P0002
94908KDBQ DBQ20050507091511505/07/05 09:15:31  5-MIN KDBQ 071515Z 05008KT 2SM -RA BR BKN024 OVC055  12/12 A3004 970 96 900 050/08 RMK AO2 P0003
94908KDBQ DBQ20050507092012605/07/05 09:20:31  5-MIN KDBQ 071520Z 04005KT 2 1/2SM -RA BR SCT021 BKN055 BKN090 13/12 A3005 960 93 1000 040/05 RMK AO2 P0003
94908KDBQ DBQ20050507092512605/07/05 09:25:31  5-MIN KDBQ 071525Z 06007KT 2 1/2SM -RA BR SCT019 BKN060 BKN090 13/12 A3004 970 93 1000 060/07 RMK AO2 P0003
94908KDBQ DBQ20050507093011905/07/05 09:30:31  5-MIN KDBQ 071530Z 06006KT 2 1/2SM -RA BR FEW019 BKN060 13/12 A3005 960 93 1000 060/06 RMK AO2 P0003
94908KDBQ DBQ20050507093511605/07/05 09:35:31  5-MIN KDBQ 071535Z 05006KT 3SM -RA BR FEW019 SCT060  13/12 A3004 960 96 1000 050/06 RMK AO2 P0003
94908KDBQ DBQ20050507094012205/07/05 09:40:31  5-MIN KDBQ 071540Z 05007KT 2 1/2SM BR FEW019 SCT060  13/12 A3004 960 96 1000 050/07 RMK AO2 RAE36 P0003
94908KDBQ DBQ20050507094511405/07/05 09:45:31  5-MIN KDBQ 071545Z 06006KT 2 1/2SM BR FEW019 13/12 A3005 960 93 1000 060/06 RMK AO2 RAE36 P0003
94908KDBQ DBQ20050507095013105/07/05 09:50:31  5-MIN KDBQ 071550Z 07006KT 2 1/2SM BR FEW060 13/12 A3005 960 93 1000 070/06 RMK AO2 RAE36 SLP177 P0003 T01330122
94908KDBQ DBQ20050507095512405/07/05 09:55:31  5-MIN KDBQ 071555Z 07008KT 3SM BR CLR 13/12 A3005 960 93 1000 060/08 RMK AO2 RAE36 SLP176 P0003 T01330122
94908KDBQ DBQ20050507100009505/07/05 10:00:31  5-MIN KDBQ 071600Z 07007KT 3SM BR CLR 13/12 A3005 960 93 1000 070/07 RMK AO2
94908KDBQ DBQ20050507100509505/07/05 10:05:31  5-MIN KDBQ 071605Z 07008KT 3SM BR CLR 14/12 A3005 960 90 1100 070/08 RMK AO2
94908KDBQ DBQ20050507101009505/07/05 10:10:31  5-MIN KDBQ 071610Z 08008KT 3SM BR CLR 14/12 A3005 960 90 1100 080/08 RMK AO2
94908KDBQ DBQ20050507101509505/07/05 10:15:31  5-MIN KDBQ 071615Z 08007KT 3SM BR CLR 14/12 A3004 960 90 1100 080/07 RMK AO2
94908KDBQ DBQ20050507102009505/07/05 10:20:31  5-MIN KDBQ 071620Z 08007KT 3SM BR CLR 14/12 A3005 950 86 1200 080/07 RMK AO2
94908KDBQ DBQ20050507102509505/07/05 10:25:31  5-MIN KDBQ 071625Z 07007KT 3SM BR CLR 14/13 A3006 950 90 1200 070/07 RMK AO2
94908KDBQ DBQ20050507103009505/07/05 10:30:31  5-MIN KDBQ 071630Z 07006KT 4SM BR CLR 15/13 A3005 960 86 1200 060/06 RMK AO2
94908KDBQ DBQ20050507103509505/07/05 10:35:31  5-MIN KDBQ 071635Z 06006KT 4SM BR CLR 15/13 A3005 960 86 1200 060/06 RMK AO2
94908KDBQ DBQ20050507104009505/07/05 10:40:31  5-MIN KDBQ 071640Z 06007KT 4SM BR CLR 15/13 A3004 970 86 1200 050/07 RMK AO2
94908KDBQ DBQ20050507104509505/07/05 10:45:31  5-MIN KDBQ 071645Z 07006KT 4SM BR CLR 15/13 A3003 970 86 1200 070/06 RMK AO2
94908KDBQ DBQ20050507105011205/07/05 10:50:31  5-MIN KDBQ 071650Z 09009KT 4SM HZ CLR 16/13 A3004 970 83 1300 090/09 RMK AO2 SLP174 T01560128
94908KDBQ DBQ20050507105511205/07/05 10:55:31  5-MIN KDBQ 071655Z 09008KT 4SM HZ CLR 16/13 A3004 970 83 1300 090/08 RMK AO2 SLP172 T01560128
94908KDBQ DBQ20050507110009505/07/05 11:00:31  5-MIN KDBQ 071700Z 10008KT 4SM HZ CLR 16/13 A3004 970 83 1300 100/08 RMK AO2
94908KDBQ DBQ20050507110509505/07/05 11:05:31  5-MIN KDBQ 071705Z 10008KT 4SM HZ CLR 16/13 A3004 970 83 1400 100/08 RMK AO2
94908KDBQ DBQ20050507111009505/07/05 11:10:31  5-MIN KDBQ 071710Z 11008KT 4SM HZ CLR 16/13 A3004 970 83 1400 110/08 RMK AO2
94908KDBQ DBQ20050507111509505/07/05 11:15:31  5-MIN KDBQ 071715Z 10010KT 4SM HZ CLR 16/13 A3003 970 83 1400 100/10 RMK AO2
94908KDBQ DBQ20050507112009505/07/05 11:20:31  5-MIN KDBQ 071720Z 10008KT 5SM HZ CLR 17/13 A3003 980 80 1400 100/08 RMK AO2
94908KDBQ DBQ20050507112509505/07/05 11:25:31  5-MIN KDBQ 071725Z 11009KT 5SM HZ CLR 17/14 A3003 980 80 1500 110/09 RMK AO2
94908KDBQ DBQ20050507113009505/07/05 11:30:31  5-MIN KDBQ 071730Z 12009KT 5SM HZ CLR 17/13 A3003 980 80 1400 120/09 RMK AO2
94908KDBQ DBQ20050507113509505/07/05 11:35:31  5-MIN KDBQ 071735Z 11010KT 5SM HZ CLR 17/13 A3002 990 78 1500 110/10 RMK AO2
94908KDBQ DBQ20050507114009505/07/05 11:40:31  5-MIN KDBQ 071740Z 10009KT 5SM HZ CLR 17/13 A3002 990 78 1500 100/09 RMK AO2
94908KDBQ DBQ20050507114509505/07/05 11:45:31  5-MIN KDBQ 071745Z 12009KT 5SM HZ CLR 17/14 A3002 980 80 1500 110/09 RMK AO2
94908KDBQ DBQ20050507115013605/07/05 11:50:31  5-MIN KDBQ 071750Z 11009KT 5SM HZ CLR 17/13 A3002 990 78 1500 110/09 RMK AO2 SLP165 60015 T01720133 10172 20122 51011
94908KDBQ DBQ20050507115513605/07/05 11:55:31  5-MIN KDBQ 071755Z 12008KT 5SM HZ CLR 17/13 A3002 990 78 1500 120/08 RMK AO2 SLP164 60015 T01720133 10172 20122 58013
94908KDBQ DBQ20050507120009505/07/05 12:00:31  5-MIN KDBQ 071800Z 11009KT 5SM HZ CLR 18/14 A3001 990 78 1600 110/09 RMK AO2
94908KDBQ DBQ20050507120509505/07/05 12:05:31  5-MIN KDBQ 071805Z 12009KT 5SM HZ CLR 18/13 A3001 990 75 1600 120/09 RMK AO2
94908KDBQ DBQ20050507121009505/07/05 12:10:31  5-MIN KDBQ 071810Z 12009KT 5SM HZ CLR 18/13 A3001 990 75 1600 110/09 RMK AO2
94908KDBQ DBQ20050507121509505/07/05 12:15:31  5-MIN KDBQ 071815Z 12009KT 5SM HZ CLR 18/14 A3001 990 75 1700 120/09 RMK AO2
94908KDBQ DBQ20050507122009705/07/05 12:20:31  5-MIN KDBQ 071820Z 12010KT 5SM HZ CLR 19/14 A3001 1000  72 1700 120/10 RMK AO2
94908KDBQ DBQ20050507122509705/07/05 12:25:31  5-MIN KDBQ 071825Z 11011KT 6SM HZ CLR 19/14 A3001 1000  72 1700 110/11 RMK AO2
94908KDBQ DBQ20050507123009705/07/05 12:30:31  5-MIN KDBQ 071830Z 13009KT 6SM HZ CLR 19/14 A3000 1000  72 1700 130/09 RMK AO2
94908KDBQ DBQ20050507123509705/07/05 12:35:31  5-MIN KDBQ 071835Z 13010KT 6SM HZ CLR 19/14 A3001 1000  70 1800 120/10 RMK AO2
94908KDBQ DBQ20050507124009405/07/05 12:40:31  5-MIN KDBQ 071840Z 14011KT 7SM CLR 19/14 A3001 1000 70  1800 140/11 RMK AO2
94908KDBQ DBQ20050507124509405/07/05 12:45:31  5-MIN KDBQ 071845Z 13010KT 7SM CLR 20/14 A3000 1000 67  1900 130/10 RMK AO2
94908KDBQ DBQ20050507125011105/07/05 12:50:31  5-MIN KDBQ 071850Z 11012KT 7SM CLR 20/14 A3000 1000 67  1900 110/12 RMK AO2 SLP159 T02000139
94908KDBQ DBQ20050507125511105/07/05 12:55:31  5-MIN KDBQ 071855Z 12010KT 7SM CLR 21/14 A3000 1000 67  1900 120/10 RMK AO2 SLP158 T02060144
94908KDBQ DBQ20050507130009405/07/05 13:00:31  5-MIN KDBQ 071900Z 11011KT 7SM CLR 21/14 A3000 1000 67  1900 110/11 RMK AO2
94908KDBQ DBQ20050507130509405/07/05 13:05:31  5-MIN KDBQ 071905Z 11012KT 8SM CLR 21/14 A3000 1000 65  1900 110/12 RMK AO2
94908KDBQ DBQ20050507131009405/07/05 13:10:31  5-MIN KDBQ 071910Z 12010KT 8SM CLR 21/14 A3000 1000 65  1900 110/10 RMK AO2
94908KDBQ DBQ20050507131509405/07/05 13:15:31  5-MIN KDBQ 071915Z 11009KT 7SM CLR 21/14 A3000 1000 65  2000 110/09 RMK AO2
94908KDBQ DBQ20050507132009405/07/05 13:20:31  5-MIN KDBQ 071920Z 11009KT 7SM CLR 21/14 A2999 1010 65  2000 110/09 RMK AO2
94908KDBQ DBQ20050507132509405/07/05 13:25:31  5-MIN KDBQ 071925Z 11009KT 8SM CLR 22/14 A3000 1010 63  2100 110/09 RMK AO2
94908KDBQ DBQ20050507133009405/07/05 13:30:31  5-MIN KDBQ 071930Z 11010KT 8SM CLR 22/14 A2999 1010 63  2100 110/10 RMK AO2
94908KDBQ DBQ20050507133509405/07/05 13:35:31  5-MIN KDBQ 071935Z 12012KT 7SM CLR 22/15 A2999 1010 65  2100 110/12 RMK AO2
94908KDBQ DBQ20050507134009405/07/05 13:40:31  5-MIN KDBQ 071940Z 11011KT 8SM CLR 22/14 A2999 1020 63  2100 110/11 RMK AO2
94908KDBQ DBQ20050507134509405/07/05 13:45:31  5-MIN KDBQ 071945Z 12011KT 8SM CLR 22/14 A2998 1020 63  2100 120/11 RMK AO2
94908KDBQ DBQ20050507135011105/07/05 13:50:31  5-MIN KDBQ 071950Z 12011KT 8SM CLR 22/14 A2999 1020 61  2100 110/11 RMK AO2 SLP152 T02220144
94908KDBQ DBQ20050507135511105/07/05 13:55:31  5-MIN KDBQ 071955Z 11011KT 8SM CLR 22/14 A2998 1020 61  2100 110/11 RMK AO2 SLP151 T02220144
94908KDBQ DBQ20050507140009405/07/05 14:00:31  5-MIN KDBQ 072000Z 12011KT 8SM CLR 22/14 A2998 1020 61  2100 120/11 RMK AO2
94908KDBQ DBQ20050507142009405/07/05 14:20:31  5-MIN KDBQ 072020Z 11012KT 8SM CLR 23/14 A2997 1030 59  2200 110/12 RMK AO2
94908KDBQ DBQ20050507142509405/07/05 14:25:31  5-MIN KDBQ 072025Z 10010KT 9SM CLR 23/14 A2997 1040 59  2200 100/10 RMK AO2
94908KDBQ DBQ20050507143009405/07/05 14:30:31  5-MIN KDBQ 072030Z 11010KT 9SM CLR 23/14 A2996 1040 59  2200 110/10 RMK AO2
94908KDBQ DBQ20050507143509405/07/05 14:35:31  5-MIN KDBQ 072035Z 11010KT 9SM CLR 23/14 A2996 1040 59  2200 110/10 RMK AO2
94908KDBQ DBQ20050507144009405/07/05 14:40:31  5-MIN KDBQ 072040Z 09012KT 9SM CLR 23/14 A2996 1040 57  2300 090/12 RMK AO2
94908KDBQ DBQ20050507144509405/07/05 14:45:31  5-MIN KDBQ 072045Z 11010KT 9SM CLR 23/14 A2996 1040 57  2300 110/10 RMK AO2
94908KDBQ DBQ20050507145011705/07/05 14:50:31  5-MIN KDBQ 072050Z 10010KT 9SM CLR 23/15 A2996 1050 59  2300 100/10 RMK AO2 SLP141 T02330150 58013
94908KDBQ DBQ20050507145511705/07/05 14:55:31  5-MIN KDBQ 072055Z 09011KT 9SM CLR 23/15 A2995 1050 59  2300 090/11 RMK AO2 SLP140 T02330150 58021
94908KDBQ DBQ20050507150009405/07/05 15:00:31  5-MIN KDBQ 072100Z 10010KT 9SM CLR 23/14 A2995 1050 57  2300 100/10 RMK AO2
94908KDBQ DBQ20050507150509405/07/05 15:05:31  5-MIN KDBQ 072105Z 10009KT 9SM CLR 23/14 A2995 1050 57  2300 100/09 RMK AO2
94908KDBQ DBQ20050507151009405/07/05 15:10:31  5-MIN KDBQ 072110Z 11011KT 9SM CLR 23/14 A2994 1060 57  2300 110/11 RMK AO2
94908KDBQ DBQ20050507151509405/07/05 15:15:31  5-MIN KDBQ 072115Z 10011KT 9SM CLR 23/14 A2994 1060 57  2300 100/11 RMK AO2
94908KDBQ DBQ20050507152009405/07/05 15:20:31  5-MIN KDBQ 072120Z 11011KT 9SM CLR 24/14 A2994 1060 55  2400 100/11 RMK AO2
94908KDBQ DBQ20050507152509405/07/05 15:25:31  5-MIN KDBQ 072125Z 10012KT 10SM CLR 23/14 A2994 1060 57 2300 100/12 RMK AO2
94908KDBQ DBQ20050507153009405/07/05 15:30:31  5-MIN KDBQ 072130Z 10011KT 9SM CLR 24/14 A2994 1060 55  2400 100/11 RMK AO2
94908KDBQ DBQ20050507153509405/07/05 15:35:31  5-MIN KDBQ 072135Z 09011KT 10SM CLR 24/14 A2994 1060 55 2400 090/11 RMK AO2
94908KDBQ DBQ20050507154009405/07/05 15:40:31  5-MIN KDBQ 072140Z 12011KT 10SM CLR 24/14 A2994 1060 55 2400 120/11 RMK AO2
94908KDBQ DBQ20050507154509405/07/05 15:45:31  5-MIN KDBQ 072145Z 11010KT 9SM CLR 24/14 A2994 1060 55  2400 110/10 RMK AO2
94908KDBQ DBQ20050507155011105/07/05 15:50:31  5-MIN KDBQ 072150Z 11011KT 10SM CLR 24/14 A2994 1060 55 2400 100/11 RMK AO2 SLP134 T02390144
94908KDBQ DBQ20050507155511105/07/05 15:55:31  5-MIN KDBQ 072155Z 11011KT 10SM CLR 24/14 A2993 1070 55 2400 110/11 RMK AO2 SLP132 T02390144
94908KDBQ DBQ20050507160009405/07/05 16:00:31  5-MIN KDBQ 072200Z 11012KT 10SM CLR 24/14 A2993 1070 55 2400 110/12 RMK AO2
94908KDBQ DBQ20050507160509405/07/05 16:05:31  5-MIN KDBQ 072205Z 11010KT 9SM CLR 24/14 A2993 1070 55  2400 110/10 RMK AO2
94908KDBQ DBQ20050507161009405/07/05 16:10:31  5-MIN KDBQ 072210Z 12012KT 9SM CLR 23/14 A2993 1070 57  2300 110/12 RMK AO2
94908KDBQ DBQ20050507161509405/07/05 16:15:31  5-MIN KDBQ 072215Z 11013KT 9SM CLR 23/14 A2992 1080 55  2300 100/13 RMK AO2
94908KDBQ DBQ20050507162009405/07/05 16:20:31  5-MIN KDBQ 072220Z 11011KT 9SM CLR 23/14 A2992 1080 57  2300 110/11 RMK AO2
94908KDBQ DBQ20050507162509405/07/05 16:25:31  5-MIN KDBQ 072225Z 11010KT 9SM CLR 23/14 A2992 1080 59  2300 110/10 RMK AO2
94908KDBQ DBQ20050507163009405/07/05 16:30:31  5-MIN KDBQ 072230Z 11009KT 9SM CLR 23/14 A2992 1080 59  2300 110/09 RMK AO2
94908KDBQ DBQ20050507163509405/07/05 16:35:31  5-MIN KDBQ 072235Z 11011KT 9SM CLR 23/14 A2992 1080 57  2300 110/11 RMK AO2
94908KDBQ DBQ20050507164009405/07/05 16:40:31  5-MIN KDBQ 072240Z 11011KT 9SM CLR 23/14 A2992 1080 57  2300 110/11 RMK AO2
94908KDBQ DBQ20050507164509405/07/05 16:45:31  5-MIN KDBQ 072245Z 11011KT 9SM CLR 23/14 A2992 1080 57  2300 110/11 RMK AO2
94908KDBQ DBQ20050507165011105/07/05 16:50:31  5-MIN KDBQ 072250Z 12011KT 8SM CLR 23/14 A2992 1080 59  2300 110/11 RMK AO2 SLP129 T02280144
94908KDBQ DBQ20050507165511105/07/05 16:55:31  5-MIN KDBQ 072255Z 11009KT 8SM CLR 23/14 A2992 1080 59  2300 110/09 RMK AO2 SLP129 T02280144
94908KDBQ DBQ20050507170009405/07/05 17:00:31  5-MIN KDBQ 072300Z 12009KT 8SM CLR 23/15 A2992 1080 61  2300 120/09 RMK AO2
94908KDBQ DBQ20050507170509405/07/05 17:05:31  5-MIN KDBQ 072305Z 11009KT 8SM CLR 23/15 A2992 1080 61  2300 110/09 RMK AO2
94908KDBQ DBQ20050507171009405/07/05 17:10:31  5-MIN KDBQ 072310Z 11009KT 8SM CLR 23/15 A2992 1080 61  2300 110/09 RMK AO2
94908KDBQ DBQ20050507171509405/07/05 17:15:31  5-MIN KDBQ 072315Z 11009KT 8SM CLR 23/15 A2992 1080 61  2300 110/09 RMK AO2
94908KDBQ DBQ20050507172009405/07/05 17:20:31  5-MIN KDBQ 072320Z 12009KT 8SM CLR 23/15 A2992 1080 61  2300 120/09 RMK AO2
94908KDBQ DBQ20050507172509705/07/05 17:25:31  5-MIN KDBQ 072325Z 11008KT 8SM FEW095 23/15 A2992 1080  61 2300 110/08 RMK AO2
94908KDBQ DBQ20050507173009405/07/05 17:30:31  5-MIN KDBQ 072330Z 11011KT 8SM CLR 23/14 A2992 1080 59  2300 110/11 RMK AO2
94908KDBQ DBQ20050507173509405/07/05 17:35:31  5-MIN KDBQ 072335Z 11010KT 8SM CLR 23/14 A2992 1080 59  2300 110/10 RMK AO2
94908KDBQ DBQ20050507174009405/07/05 17:40:31  5-MIN KDBQ 072340Z 11011KT 8SM CLR 23/14 A2992 1080 59  2300 100/11 RMK AO2
94908KDBQ DBQ20050507174509405/07/05 17:45:31  5-MIN KDBQ 072345Z 10011KT 8SM CLR 23/14 A2991 1080 59  2300 100/11 RMK AO2
94908KDBQ DBQ20050507175013805/07/05 17:50:31  5-MIN KDBQ 072350Z AUTO 11011KT 8SM CLR 22/14 A2991 1090 61 2200 100/11 RMK AO2 SLP127 T02220144 10239 20172 58021 TSNO
94908KDBQ DBQ20050507175513805/07/05 17:55:31  5-MIN KDBQ 072355Z AUTO 11011KT 8SM CLR 22/14 A2992 1080 61 2200 110/11 RMK AO2 SLP128 T02220144 10239 20172 56012 TSNO
94908KDBQ DBQ20050507180010305/07/05 18:00:31  5-MIN KDBQ 080000Z AUTO 11011KT 8SM CLR 22/14 A2992 1080 61 2200 100/11 RMK AO2 TSNO
94908KDBQ DBQ20050507180510305/07/05 18:05:31  5-MIN KDBQ 080005Z AUTO 11009KT 8SM CLR 22/14 A2991 1080 63 2100 110/09 RMK AO2 TSNO
94908KDBQ DBQ20050507181010305/07/05 18:10:31  5-MIN KDBQ 080010Z AUTO 11010KT 8SM CLR 22/14 A2991 1080 63 2100 110/10 RMK AO2 TSNO
